schemaVersion,recordType,source_name,source_url,entityName,employeeCount,collectedAt
1.0,STARTUP,GitHub Organization API,https://github.com/aisk,aisk,,2026-09-05T09:02:43.930291
1.0,STARTUP,GitHub Organization API,https://github.com/Aircoookie,Aircoookie,,2026-09-05T09:02:43.930305
1.0,STARTUP,GitHub Organization API,https://github.com/AirdropFamilyIDN-V2-0,AirdropFamilyIDN-V2-0,,2026-09-05T09:02:43.930318
1.0,STARTUP,GitHub Organization API,https://github.com/yalishanda42,yalishanda42,,2026-09-05T09:02:43.930331
1.0,STARTUP,GitHub Organization API,https://github.com/BerriAI,BerriAI,,2026-09-05T09:02:43.930344
1.0,STARTUP,GitHub Organization API,https://github.com/matedev01,matedev01,,2026-09-05T09:02:43.930357
1.0,STARTUP,GitHub Organization API,https://github.com/swiss-ai,swiss-ai,,2026-09-05T09:02:43.930370
1.0,STARTUP,GitHub Organization API,https://github.com/FlowiseAI,FlowiseAI,,2026-09-05T09:02:43.930387
1.0,STARTUP,GitHub Organization API,https://github.com/302ai,302ai,,2026-09-05T09:02:43.930457
1.0,STARTUP,GitHub Organization API,https://github.com/augmentedstartups,augmentedstartups,,2026-09-05T09:02:43.930472
1.0,STARTUP,GitHub Organization API,https://github.com/mozilla-ai,mozilla-ai,,2026-09-05T09:02:43.930485
1.0,STARTUP,GitHub Organization API,https://github.com/airbytehq,airbytehq,,2026-09-05T09:02:43.930498
1.0,STARTUP,GitHub Organization API,https://github.com/airockchip,airockchip,,2026-09-05T09:02:43.930511
1.0,STARTUP,GitHub Organization API,https://github.com/moeru-ai,moeru-ai,,2026-09-05T09:02:43.930523
1.0,STARTUP,GitHub Organization API,https://github.com/Genesis-Embodied-AI,Genesis-Embodied-AI,,2026-09-05T09:02:43.930536
1.0,STARTUP,GitHub Organization API,https://github.com/yugasun,yugasun,,2026-09-05T09:02:43.930549
1.0,STARTUP,GitHub Organization API,https://github.com/FreedomIntelligence,FreedomIntelligence,,2026-09-05T09:02:43.930562
1.0,STARTUP,GitHub Organization API,https://github.com/aircrack-ng,aircrack-ng,,2026-09-05T09:02:43.930582
1.0,STARTUP,GitHub Organization API,https://github.com/nogibjj,nogibjj,,2026-09-05T09:02:43.930596
1.0,STARTUP,GitHub Organization API,https://github.com/Liquid4All,Liquid4All,,2026-09-05T09:02:43.930619
1.0,STARTUP,GitHub Organization API,https://github.com/ec2ainun,ec2ainun,,2026-09-05T09:02:43.930632
1.0,STARTUP,GitHub Organization API,https://github.com/resemble-ai,resemble-ai,,2026-09-05T09:02:43.930645
1.0,STARTUP,GitHub Organization API,https://github.com/aiekick,aiekick,,2026-09-05T09:02:43.930658
1.0,STARTUP,GitHub Organization API,https://github.com/aiwithqasim,aiwithqasim,,2026-09-05T09:02:43.930671
1.0,STARTUP,GitHub Organization API,https://github.com/aibers,aibers,,2026-09-05T09:02:43.930684
1.0,STARTUP,GitHub Organization API,https://github.com/kvcache-ai,kvcache-ai,,2026-09-05T09:02:43.930697
1.0,STARTUP,GitHub Organization API,https://github.com/fixie-ai,fixie-ai,,2026-09-05T09:02:43.930710
1.0,STARTUP,GitHub Organization API,https://github.com/ai-to-ai,ai-to-ai,,2026-09-05T09:02:43.930723
1.0,STARTUP,GitHub Organization API,https://github.com/landing-ai,landing-ai,,2026-09-05T09:02:43.930735
1.0,STARTUP,GitHub Organization API,https://github.com/EvoLinkAI,EvoLinkAI,,2026-09-05T09:02:43.930748
1.0,STARTUP,GitHub Organization API,https://github.com/airportyh,airportyh,,2026-09-05T09:02:43.930761
1.0,STARTUP,GitHub Organization API,https://github.com/Lightning-AI,Lightning-AI,,2026-09-05T09:02:43.930774
1.0,STARTUP,GitHub Organization API,https://github.com/ai-mountain,ai-mountain,,2026-09-05T09:02:43.930787
1.0,STARTUP,GitHub Organization API,https://github.com/Airblader,Airblader,,2026-09-05T09:02:43.930799
1.0,STARTUP,GitHub Organization API,https://github.com/tavily-ai,tavily-ai,,2026-09-05T09:02:43.930812
1.0,STARTUP,GitHub Organization API,https://github.com/shuowang-ai,shuowang-ai,,2026-09-05T09:02:43.930837
1.0,STARTUP,GitHub Organization API,https://github.com/NVIDIA-AI-IOT,NVIDIA-AI-IOT,,2026-09-05T09:02:43.930852
1.0,STARTUP,GitHub Organization API,https://github.com/airhorns,airhorns,,2026-09-05T09:02:43.930865
1.0,STARTUP,GitHub Organization API,https://github.com/airspeedswift,airspeedswift,,2026-09-05T09:02:43.930885
1.0,STARTUP,GitHub Organization API,https://github.com/smol-ai,smol-ai,,2026-09-05T09:02:43.930898
1.0,STARTUP,GitHub Organization API,https://github.com/tile-ai,tile-ai,,2026-09-05T09:02:43.930911
1.0,STARTUP,GitHub Organization API,https://github.com/aimingoo,aimingoo,,2026-09-05T09:02:43.930924
1.0,STARTUP,GitHub Organization API,https://github.com/i-am-bee,i-am-bee,,2026-09-05T09:02:45.471304
1.0,STARTUP,GitHub Organization API,https://github.com/aisuhua,aisuhua,,2026-09-05T09:02:45.471357
1.0,STARTUP,GitHub Organization API,https://github.com/noCaptchaAi,noCaptchaAi,,2026-09-05T09:02:45.471386
1.0,STARTUP,GitHub Organization API,https://github.com/aikar,aikar,,2026-09-05T09:02:45.471412
1.0,STARTUP,GitHub Organization API,https://github.com/aidansteele,aidansteele,,2026-09-05T09:02:45.471437
1.0,STARTUP,GitHub Organization API,https://github.com/wenguanwang,wenguanwang,,2026-09-05T09:02:45.471462
1.0,STARTUP,GitHub Organization API,https://github.com/aibooks14,aibooks14,,2026-09-05T09:02:45.471487
1.0,STARTUP,GitHub Organization API,https://github.com/ainame,ainame,,2026-09-05T09:02:45.471512
1.0,STARTUP,GitHub Organization API,https://github.com/aishwaryanr,aishwaryanr,,2026-09-05T09:02:45.471536
1.0,STARTUP,GitHub Organization API,https://github.com/AimeeKnight,AimeeKnight,,2026-09-05T09:02:45.471571
1.0,STARTUP,GitHub Organization API,https://github.com/boson-ai,boson-ai,,2026-09-05T09:02:45.471597
1.0,STARTUP,GitHub Organization API,https://github.com/arcee-ai,arcee-ai,,2026-09-05T09:02:45.471621
1.0,STARTUP,GitHub Organization API,https://github.com/Arize-ai,Arize-ai,,2026-09-05T09:02:45.471647
1.0,STARTUP,GitHub Organization API,https://github.com/aidanhs,aidanhs,,2026-09-05T09:02:45.471671
